DateKey,Fecha,Dia,Num_Semana,Mes,Num_Mes,CuartoAño,Año
20200101,2020-01-01,Miércoles,1,Enero,1,1,2020
20200102,2020-01-02,Jueves,1,Enero,1,1,2020
20200103,2020-01-03,Viernes,1,Enero,1,1,2020
20200104,2020-01-04,Sábado,1,Enero,1,1,2020
20200105,2020-01-05,Doming,2,Enero,1,1,2020
20200106,2020-01-06,Lunes,2,Enero,1,1,2020
20200107,2020-01-07,Martes,2,Enero,1,1,2020
20200108,2020-01-08,Miércoles,2,Enero,1,1,2020
20200109,2020-01-09,Jueves,2,Enero,1,1,2020
20200110,2020-01-10,Viernes,2,Enero,1,1,2020
20200111,2020-01-11,Sábado,2,Enero,1,1,2020
20200112,2020-01-12,Doming,3,Enero,1,1,2020
20200113,2020-01-13,Lunes,3,Enero,1,1,2020
20200114,2020-01-14,Martes,3,Enero,1,1,2020
20200115,2020-01-15,Miércoles,3,Enero,1,1,2020
20200116,2020-01-16,Jueves,3,Enero,1,1,2020
20200117,2020-01-17,Viernes,3,Enero,1,1,2020
20200118,2020-01-18,Sábado,3,Enero,1,1,2020
20200119,2020-01-19,Doming,4,Enero,1,1,2020
20200120,2020-01-20,Lunes,4,Enero,1,1,2020
20200121,2020-01-21,Martes,4,Enero,1,1,2020
20200122,2020-01-22,Miércoles,4,Enero,1,1,2020
20200123,2020-01-23,Jueves,4,Enero,1,1,2020
20200124,2020-01-24,Viernes,4,Enero,1,1,2020
20200125,2020-01-25,Sábado,4,Enero,1,1,2020
20200126,2020-01-26,Doming,5,Enero,1,1,2020
20200127,2020-01-27,Lunes,5,Enero,1,1,2020
20200128,2020-01-28,Martes,5,Enero,1,1,2020
20200129,2020-01-29,Miércoles,5,Enero,1,1,2020
20200130,2020-01-30,Jueves,5,Enero,1,1,2020
20200131,2020-01-31,Viernes,5,Enero,1,1,2020
20200201,2020-02-01,Sábado,5,Febrero,2,1,2020
20200202,2020-02-02,Doming,6,Febrero,2,1,2020
20200203,2020-02-03,Lunes,6,Febrero,2,1,2020
20200204,2020-02-04,Martes,6,Febrero,2,1,2020
20200205,2020-02-05,Miércoles,6,Febrero,2,1,2020
20200206,2020-02-06,Jueves,6,Febrero,2,1,2020
20200207,2020-02-07,Viernes,6,Febrero,2,1,2020
20200208,2020-02-08,Sábado,6,Febrero,2,1,2020
20200209,2020-02-09,Doming,7,Febrero,2,1,2020
20200210,2020-02-10,Lunes,7,Febrero,2,1,2020
20200211,2020-02-11,Martes,7,Febrero,2,1,2020
20200212,2020-02-12,Miércoles,7,Febrero,2,1,2020
20200213,2020-02-13,Jueves,7,Febrero,2,1,2020
20200214,2020-02-14,Viernes,7,Febrero,2,1,2020
20200215,2020-02-15,Sábado,7,Febrero,2,1,2020
20200216,2020-02-16,Doming,8,Febrero,2,1,2020
20200217,2020-02-17,Lunes,8,Febrero,2,1,2020
20200218,2020-02-18,Martes,8,Febrero,2,1,2020
20200219,2020-02-19,Miércoles,8,Febrero,2,1,2020
20200220,2020-02-20,Jueves,8,Febrero,2,1,2020
20200221,2020-02-21,Viernes,8,Febrero,2,1,2020
20200222,2020-02-22,Sábado,8,Febrero,2,1,2020
20200223,2020-02-23,Doming,9,Febrero,2,1,2020
20200224,2020-02-24,Lunes,9,Febrero,2,1,2020
20200225,2020-02-25,Martes,9,Febrero,2,1,2020
20200226,2020-02-26,Miércoles,9,Febrero,2,1,2020
20200227,2020-02-27,Jueves,9,Febrero,2,1,2020
20200228,2020-02-28,Viernes,9,Febrero,2,1,2020
20200229,2020-02-29,Sábado,9,Febrero,2,1,2020
20200301,2020-03-01,Doming,10,Marzo,3,1,2020
20200302,2020-03-02,Lunes,10,Marzo,3,1,2020
20200303,2020-03-03,Martes,10,Marzo,3,1,2020
20200304,2020-03-04,Miércoles,10,Marzo,3,1,2020
20200305,2020-03-05,Jueves,10,Marzo,3,1,2020
20200306,2020-03-06,Viernes,10,Marzo,3,1,2020
20200307,2020-03-07,Sábado,10,Marzo,3,1,2020
20200308,2020-03-08,Doming,11,Marzo,3,1,2020
20200309,2020-03-09,Lunes,11,Marzo,3,1,2020
20200310,2020-03-10,Martes,11,Marzo,3,1,2020
20200311,2020-03-11,Miércoles,11,Marzo,3,1,2020
20200312,2020-03-12,Jueves,11,Marzo,3,1,2020
20200313,2020-03-13,Viernes,11,Marzo,3,1,2020
20200314,2020-03-14,Sábado,11,Marzo,3,1,2020
20200315,2020-03-15,Doming,12,Marzo,3,1,2020
20200316,2020-03-16,Lunes,12,Marzo,3,1,2020
20200317,2020-03-17,Martes,12,Marzo,3,1,2020
20200318,2020-03-18,Miércoles,12,Marzo,3,1,2020
20200319,2020-03-19,Jueves,12,Marzo,3,1,2020
20200320,2020-03-20,Viernes,12,Marzo,3,1,2020
20200321,2020-03-21,Sábado,12,Marzo,3,1,2020
20200322,2020-03-22,Doming,13,Marzo,3,1,2020
20200323,2020-03-23,Lunes,13,Marzo,3,1,2020
20200324,2020-03-24,Martes,13,Marzo,3,1,2020
20200325,2020-03-25,Miércoles,13,Marzo,3,1,2020
20200326,2020-03-26,Jueves,13,Marzo,3,1,2020
20200327,2020-03-27,Viernes,13,Marzo,3,1,2020
20200328,2020-03-28,Sábado,13,Marzo,3,1,2020
20200329,2020-03-29,Doming,14,Marzo,3,1,2020
20200330,2020-03-30,Lunes,14,Marzo,3,1,2020
20200331,2020-03-31,Martes,14,Marzo,3,1,2020
20200401,2020-04-01,Miércoles,14,Abril,4,2,2020
20200402,2020-04-02,Jueves,14,Abril,4,2,2020
20200403,2020-04-03,Viernes,14,Abril,4,2,2020
20200404,2020-04-04,Sábado,14,Abril,4,2,2020
20200405,2020-04-05,Doming,15,Abril,4,2,2020
20200406,2020-04-06,Lunes,15,Abril,4,2,2020
20200407,2020-04-07,Martes,15,Abril,4,2,2020
20200408,2020-04-08,Miércoles,15,Abril,4,2,2020
20200409,2020-04-09,Jueves,15,Abril,4,2,2020
20200410,2020-04-10,Viernes,15,Abril,4,2,2020
20200411,2020-04-11,Sábado,15,Abril,4,2,2020
20200412,2020-04-12,Doming,16,Abril,4,2,2020
20200413,2020-04-13,Lunes,16,Abril,4,2,2020
20200414,2020-04-14,Martes,16,Abril,4,2,2020
20200415,2020-04-15,Miércoles,16,Abril,4,2,2020
20200416,2020-04-16,Jueves,16,Abril,4,2,2020
20200417,2020-04-17,Viernes,16,Abril,4,2,2020
20200418,2020-04-18,Sábado,16,Abril,4,2,2020
20200419,2020-04-19,Doming,17,Abril,4,2,2020
20200420,2020-04-20,Lunes,17,Abril,4,2,2020
20200421,2020-04-21,Martes,17,Abril,4,2,2020
20200422,2020-04-22,Miércoles,17,Abril,4,2,2020
20200423,2020-04-23,Jueves,17,Abril,4,2,2020
20200424,2020-04-24,Viernes,17,Abril,4,2,2020
20200425,2020-04-25,Sábado,17,Abril,4,2,2020
20200426,2020-04-26,Doming,18,Abril,4,2,2020
20200427,2020-04-27,Lunes,18,Abril,4,2,2020
20200428,2020-04-28,Martes,18,Abril,4,2,2020
20200429,2020-04-29,Miércoles,18,Abril,4,2,2020
20200430,2020-04-30,Jueves,18,Abril,4,2,2020
20200501,2020-05-01,Viernes,18,Mayo,5,2,2020
20200502,2020-05-02,Sábado,18,Mayo,5,2,2020
20200503,2020-05-03,Doming,19,Mayo,5,2,2020
20200504,2020-05-04,Lunes,19,Mayo,5,2,2020
20200505,2020-05-05,Martes,19,Mayo,5,2,2020
20200506,2020-05-06,Miércoles,19,Mayo,5,2,2020
20200507,2020-05-07,Jueves,19,Mayo,5,2,2020
20200508,2020-05-08,Viernes,19,Mayo,5,2,2020
20200509,2020-05-09,Sábado,19,Mayo,5,2,2020
20200510,2020-05-10,Doming,20,Mayo,5,2,2020
20200511,2020-05-11,Lunes,20,Mayo,5,2,2020
20200512,2020-05-12,Martes,20,Mayo,5,2,2020
20200513,2020-05-13,Miércoles,20,Mayo,5,2,2020
20200514,2020-05-14,Jueves,20,Mayo,5,2,2020
20200515,2020-05-15,Viernes,20,Mayo,5,2,2020
20200516,2020-05-16,Sábado,20,Mayo,5,2,2020
20200517,2020-05-17,Doming,21,Mayo,5,2,2020
20200518,2020-05-18,Lunes,21,Mayo,5,2,2020
20200519,2020-05-19,Martes,21,Mayo,5,2,2020
20200520,2020-05-20,Miércoles,21,Mayo,5,2,2020
20200521,2020-05-21,Jueves,21,Mayo,5,2,2020
20200522,2020-05-22,Viernes,21,Mayo,5,2,2020
20200523,2020-05-23,Sábado,21,Mayo,5,2,2020
20200524,2020-05-24,Doming,22,Mayo,5,2,2020
20200525,2020-05-25,Lunes,22,Mayo,5,2,2020
20200526,2020-05-26,Martes,22,Mayo,5,2,2020
20200527,2020-05-27,Miércoles,22,Mayo,5,2,2020
20200528,2020-05-28,Jueves,22,Mayo,5,2,2020
20200529,2020-05-29,Viernes,22,Mayo,5,2,2020
20200530,2020-05-30,Sábado,22,Mayo,5,2,2020
20200531,2020-05-31,Doming,23,Mayo,5,2,2020
20200601,2020-06-01,Lunes,23,Junio,6,2,2020
20200602,2020-06-02,Martes,23,Junio,6,2,2020
20200603,2020-06-03,Miércoles,23,Junio,6,2,2020
20200604,2020-06-04,Jueves,23,Junio,6,2,2020
20200605,2020-06-05,Viernes,23,Junio,6,2,2020
20200606,2020-06-06,Sábado,23,Junio,6,2,2020
20200607,2020-06-07,Doming,24,Junio,6,2,2020
20200608,2020-06-08,Lunes,24,Junio,6,2,2020
20200609,2020-06-09,Martes,24,Junio,6,2,2020
20200610,2020-06-10,Miércoles,24,Junio,6,2,2020
20200611,2020-06-11,Jueves,24,Junio,6,2,2020
20200612,2020-06-12,Viernes,24,Junio,6,2,2020
20200613,2020-06-13,Sábado,24,Junio,6,2,2020
20200614,2020-06-14,Doming,25,Junio,6,2,2020
20200615,2020-06-15,Lunes,25,Junio,6,2,2020
20200616,2020-06-16,Martes,25,Junio,6,2,2020
20200617,2020-06-17,Miércoles,25,Junio,6,2,2020
20200618,2020-06-18,Jueves,25,Junio,6,2,2020
20200619,2020-06-19,Viernes,25,Junio,6,2,2020
20200620,2020-06-20,Sábado,25,Junio,6,2,2020
20200621,2020-06-21,Doming,26,Junio,6,2,2020
20200622,2020-06-22,Lunes,26,Junio,6,2,2020
20200623,2020-06-23,Martes,26,Junio,6,2,2020
20200624,2020-06-24,Miércoles,26,Junio,6,2,2020
20200625,2020-06-25,Jueves,26,Junio,6,2,2020
20200626,2020-06-26,Viernes,26,Junio,6,2,2020
20200627,2020-06-27,Sábado,26,Junio,6,2,2020
20200628,2020-06-28,Doming,27,Junio,6,2,2020
20200629,2020-06-29,Lunes,27,Junio,6,2,2020
20200630,2020-06-30,Martes,27,Junio,6,2,2020
20200701,2020-07-01,Miércoles,27,Julio,7,3,2020
20200702,2020-07-02,Jueves,27,Julio,7,3,2020
20200703,2020-07-03,Viernes,27,Julio,7,3,2020
20200704,2020-07-04,Sábado,27,Julio,7,3,2020
20200705,2020-07-05,Doming,28,Julio,7,3,2020
20200706,2020-07-06,Lunes,28,Julio,7,3,2020
20200707,2020-07-07,Martes,28,Julio,7,3,2020
20200708,2020-07-08,Miércoles,28,Julio,7,3,2020
20200709,2020-07-09,Jueves,28,Julio,7,3,2020
20200710,2020-07-10,Viernes,28,Julio,7,3,2020
20200711,2020-07-11,Sábado,28,Julio,7,3,2020
20200712,2020-07-12,Doming,29,Julio,7,3,2020
20200713,2020-07-13,Lunes,29,Julio,7,3,2020
20200714,2020-07-14,Martes,29,Julio,7,3,2020
20200715,2020-07-15,Miércoles,29,Julio,7,3,2020
20200716,2020-07-16,Jueves,29,Julio,7,3,2020
20200717,2020-07-17,Viernes,29,Julio,7,3,2020
20200718,2020-07-18,Sábado,29,Julio,7,3,2020
20200719,2020-07-19,Doming,30,Julio,7,3,2020
20200720,2020-07-20,Lunes,30,Julio,7,3,2020
20200721,2020-07-21,Martes,30,Julio,7,3,2020
20200722,2020-07-22,Miércoles,30,Julio,7,3,2020
20200723,2020-07-23,Jueves,30,Julio,7,3,2020
20200724,2020-07-24,Viernes,30,Julio,7,3,2020
20200725,2020-07-25,Sábado,30,Julio,7,3,2020
20200726,2020-07-26,Doming,31,Julio,7,3,2020
20200727,2020-07-27,Lunes,31,Julio,7,3,2020
20200728,2020-07-28,Martes,31,Julio,7,3,2020
20200729,2020-07-29,Miércoles,31,Julio,7,3,2020
20200730,2020-07-30,Jueves,31,Julio,7,3,2020
20200731,2020-07-31,Viernes,31,Julio,7,3,2020
20200801,2020-08-01,Sábado,31,Agosto,8,3,2020
20200802,2020-08-02,Doming,32,Agosto,8,3,2020
20200803,2020-08-03,Lunes,32,Agosto,8,3,2020
20200804,2020-08-04,Martes,32,Agosto,8,3,2020
20200805,2020-08-05,Miércoles,32,Agosto,8,3,2020
20200806,2020-08-06,Jueves,32,Agosto,8,3,2020
20200807,2020-08-07,Viernes,32,Agosto,8,3,2020
20200808,2020-08-08,Sábado,32,Agosto,8,3,2020
20200809,2020-08-09,Doming,33,Agosto,8,3,2020
20200810,2020-08-10,Lunes,33,Agosto,8,3,2020
20200811,2020-08-11,Martes,33,Agosto,8,3,2020
20200812,2020-08-12,Miércoles,33,Agosto,8,3,2020
20200813,2020-08-13,Jueves,33,Agosto,8,3,2020
20200814,2020-08-14,Viernes,33,Agosto,8,3,2020
20200815,2020-08-15,Sábado,33,Agosto,8,3,2020
20200816,2020-08-16,Doming,34,Agosto,8,3,2020
20200817,2020-08-17,Lunes,34,Agosto,8,3,2020
20200818,2020-08-18,Martes,34,Agosto,8,3,2020
20200819,2020-08-19,Miércoles,34,Agosto,8,3,2020
20200820,2020-08-20,Jueves,34,Agosto,8,3,2020
20200821,2020-08-21,Viernes,34,Agosto,8,3,2020
20200822,2020-08-22,Sábado,34,Agosto,8,3,2020
20200823,2020-08-23,Doming,35,Agosto,8,3,2020
20200824,2020-08-24,Lunes,35,Agosto,8,3,2020
20200825,2020-08-25,Martes,35,Agosto,8,3,2020
20200826,2020-08-26,Miércoles,35,Agosto,8,3,2020
20200827,2020-08-27,Jueves,35,Agosto,8,3,2020
20200828,2020-08-28,Viernes,35,Agosto,8,3,2020
20200829,2020-08-29,Sábado,35,Agosto,8,3,2020
20200830,2020-08-30,Doming,36,Agosto,8,3,2020
20200831,2020-08-31,Lunes,36,Agosto,8,3,2020
20200901,2020-09-01,Martes,36,Septiembre,9,3,2020
20200902,2020-09-02,Miércoles,36,Septiembre,9,3,2020
20200903,2020-09-03,Jueves,36,Septiembre,9,3,2020
20200904,2020-09-04,Viernes,36,Septiembre,9,3,2020
20200905,2020-09-05,Sábado,36,Septiembre,9,3,2020
20200906,2020-09-06,Doming,37,Septiembre,9,3,2020
20200907,2020-09-07,Lunes,37,Septiembre,9,3,2020
20200908,2020-09-08,Martes,37,Septiembre,9,3,2020
20200909,2020-09-09,Miércoles,37,Septiembre,9,3,2020
20200910,2020-09-10,Jueves,37,Septiembre,9,3,2020
20200911,2020-09-11,Viernes,37,Septiembre,9,3,2020
20200912,2020-09-12,Sábado,37,Septiembre,9,3,2020
20200913,2020-09-13,Doming,38,Septiembre,9,3,2020
20200914,2020-09-14,Lunes,38,Septiembre,9,3,2020
20200915,2020-09-15,Martes,38,Septiembre,9,3,2020
20200916,2020-09-16,Miércoles,38,Septiembre,9,3,2020
20200917,2020-09-17,Jueves,38,Septiembre,9,3,2020
20200918,2020-09-18,Viernes,38,Septiembre,9,3,2020
20200919,2020-09-19,Sábado,38,Septiembre,9,3,2020
20200920,2020-09-20,Doming,39,Septiembre,9,3,2020
20200921,2020-09-21,Lunes,39,Septiembre,9,3,2020
20200922,2020-09-22,Martes,39,Septiembre,9,3,2020
20200923,2020-09-23,Miércoles,39,Septiembre,9,3,2020
20200924,2020-09-24,Jueves,39,Septiembre,9,3,2020
20200925,2020-09-25,Viernes,39,Septiembre,9,3,2020
20200926,2020-09-26,Sábado,39,Septiembre,9,3,2020
20200927,2020-09-27,Doming,40,Septiembre,9,3,2020
20200928,2020-09-28,Lunes,40,Septiembre,9,3,2020
20200929,2020-09-29,Martes,40,Septiembre,9,3,2020
20200930,2020-09-30,Miércoles,40,Septiembre,9,3,2020
20201001,2020-10-01,Jueves,40,Octubre,10,4,2020
20201002,2020-10-02,Viernes,40,Octubre,10,4,2020
20201003,2020-10-03,Sábado,40,Octubre,10,4,2020
20201004,2020-10-04,Doming,41,Octubre,10,4,2020
20201005,2020-10-05,Lunes,41,Octubre,10,4,2020
20201006,2020-10-06,Martes,41,Octubre,10,4,2020
20201007,2020-10-07,Miércoles,41,Octubre,10,4,2020
20201008,2020-10-08,Jueves,41,Octubre,10,4,2020
20201009,2020-10-09,Viernes,41,Octubre,10,4,2020
20201010,2020-10-10,Sábado,41,Octubre,10,4,2020
